Wall time,Step,Value
1691635211.2815347,641093,59.529998779296875
1691635346.5115502,644906,62.02000045776367
1691635456.0046825,647600,62.189998626708984
1691635565.6294966,650389,61.650001525878906
1691635731.1040096,655617,59.380001068115234
1691635896.6252644,660740,56.810001373291016
1691636062.1992507,665657,51.72999954223633
1691636183.5687418,669080,51.5
1691636315.5645537,672766,45.849998474121094
1691636447.708961,676363,42.060001373291016
1691636585.8439484,680601,39.189998626708984
1691636697.2027144,684016,39.869998931884766
1691636808.6487718,687362,37.47999954223633
1691636924.1462357,690518,32.619998931884766
1691637080.2969317,694517,34.58000183105469
1691637215.0091136,698308,39.18000030517578
1691637340.9161596,701980,41.58000183105469
1691637460.9343402,705143,39.369998931884766
1691637599.233779,709413,37.650001525878906
1691637737.483829,713558,39.7400016784668
1691637875.7016802,717622,36.939998626708984
1691638013.934988,721758,30.809999465942383
1691638152.2356079,725934,36.41999816894531
1691638290.4512882,730081,39.349998474121094
1691638430.4213598,734026,38.189998626708984
1691638549.17238,737715,40.349998474121094
1691638667.9225056,741342,37.290000915527344
1691638798.7659962,745294,41.779998779296875
1691638929.576618,749271,45.84000015258789
1691639047.3923962,752753,41.93000030517578
1691639195.4673908,757849,45.459999084472656
1691639330.7164974,761678,48.029998779296875
1691639440.2426329,764279,41.720001220703125
1691639605.7652357,769515,43.2599983215332
1691639771.305715,774585,39.13999938964844
1691639936.7961123,779773,36.0099983215332
1691640102.3517842,784822,39.43000030517578
1691640223.7229974,788277,43.400001525878906
1691640345.1096735,791622,39.720001220703125
1691640477.1850698,795189,40.13999938964844
1691640609.1324806,798702,36.5
1691640741.160274,802397,31.15999984741211
1691640873.1867235,805767,33.0
1691641011.2881775,809362,30.84000015258789
1691641149.4210079,813373,32.459999084472656
1691641260.8660064,816155,32.279998779296875
1691641372.2098393,819166,32.25
1691641487.7416332,821969,29.079999923706055
1691641644.0081184,825543,32.439998626708984
1691641800.1042697,829055,43.470001220703125
1691641956.2540114,832535,38.0
1691642112.5209606,836082,31.780000686645508
1691642247.2355182,839819,30.610000610351562
1691642381.997349,843845,24.139999389648438
1691642507.9379306,847205,21.8700008392334
1691642627.83929,850359,23.149999618530273
1691642766.106193,854191,24.459999084472656
1691642906.159048,858217,19.770000457763672
1691643024.8754897,861917,16.56999969482422
1691643155.6035976,865833,19.540000915527344
1691643286.4145417,869758,20.329999923706055
1691643417.124788,873860,21.420000076293945
1691643535.0230248,877388,21.280000686645508
1691643652.889465,880833,15.600000381469727
1691643770.6729531,884267,12.6899995803833
1691643918.6814926,889200,10.760000228881836
1691644066.7236624,894302,10.770000457763672
1691644202.072588,898317,13.9399995803833
1691708114.0604334,903729,15.050000190734863
1691708252.3609192,907553,17.3799991607666
1691708391.0776916,911177,9.930000305175781
1691708531.3299024,914816,9.130000114440918
1691708671.3822443,918557,9.0600004196167
1691708811.3000534,922397,9.239999771118164
1691708951.2348993,926257,10.989999771118164
1691709091.2374115,930155,9.819999694824219
1691709231.1543674,934229,11.350000381469727
1691709350.0235431,937553,9.109999656677246
1691709481.0173128,941307,9.649999618530273
1691709611.810207,945198,7.460000038146973
1691709742.5547304,949140,8.420000076293945
1691709860.437654,952632,7.550000190734863
1691710008.5291147,957949,4.409999847412109
1691710156.538124,963182,1.4700000286102295
1691710304.6455796,968349,2.3499999046325684
1691710440.0125082,972594,1.1699999570846558
1691710575.2759902,976898,6.579999923706055
1691710684.9687474,979977,10.569999694824219
1691710850.575823,985223,9.640000343322754
1691711016.0647027,990299,11.569999694824219
1691711181.603934,995518,11.180000305175781
1691711347.0443957,1000689,9.850000381469727
1691711468.5485086,1004214,6.059999942779541
1691711600.7769158,1008766,4.760000228881836
1691711732.7880907,1013001,5.010000228881836
1691711871.0714839,1017453,2.619999885559082
1691712009.2547688,1022005,3.440000057220459
1691712120.7829552,1025021,5.210000038146973
1691712236.4975295,1029088,4.840000152587891
1691712392.8802383,1034537,7.53000020980835
1691712549.011587,1039943,8.770000457763672
1691712683.8599484,1044165,10.90999984741211
1691712818.6059067,1048246,13.100000381469727
1691712953.2546232,1052485,14.020000457763672
1691713079.1940515,1055601,15.529999732971191
1691713219.679444,1060189,18.1200008392334
1691713329.2211554,1063438,20.139999389648438
1691713494.7434347,1068717,22.65999984741211
1691713616.2802575,1072565,22.780000686645508
1691713748.2939236,1076983,23.729999542236328
1691713886.4267278,1081526,25.270000457763672
